Title;;Duration (minutes)
4 Little Girls;;102
12 Years a Slave;;134
12 Angry Men;;96
13 Lakes;;135
42nd Street;;89
20,000 Leagues Under the Sea;;105
Lady Helen’s Escapade;;7
Hell’s Hinges;;64
Hellbound Train;;
Rushmore;;93
Alambrista!;;110
Hallelujah;;100
Greed;;140
Amadeus;;
America America;;174
An American in Paris;;113
American Me;;126
American Graffiti;;110
Anatomy of a Murder;;160
Angels with Dirty Faces;;97
A Computer Animated Hand;;1
Antonia: A Portrait of the Woman;;58
Applause;;105
Apocalypse Now;;147
Apollo 13;;
The Asphalt Jungle;;112
Atlantic City;;104
The Atomic Cafe;;88
Attica;;80
The Sting;;129
The African Queen;;105
Airplane!;;87
The Thief of Bagdad;;155
The Goonies;;114
The Ballad of Gregorio Cortez;;106
The Bank Dick;;72
Uksuum Cauyai: The Drums of Winter;;90
Lambchops;;8
Glimpse of the Garden;;5
Blade Runner;;117
The Poor Little Rich Girl;;65
Gun Crazy;;86
Serene Velocity;;23
Safety Last!;;73
Titicut Follies;;84
Becky Sharp;;84
White Heat;;114
Snow-White;;63
Snow White and the Seven Dwarfs;;83
Ben-Hur;;212
Ben-Hur: A Tale of the Christ;;143
The Endless Summer;;95
Easy Rider;;95
Betty Tells Her Story;;20
Duck Amuck;;7
Raging Bull;;129
The Battle of San Pietro;;33
The Battle of the Century;;19
Bless Their Little Hearts;;80
Close Encounters of the Third Kind;;137
The Beau Brummels;;8
Leave Her to Heaven;;110
Our Lady of the Sphere;;10
Jeffries-Johnson World’s Championship Boxing Contest;;10
The Corbett-Fitzsimmons Fight;;100
Stranger Than Paradise;;89
Hospital;;84
The Hospital;;103
The Big Trail;;122
The Great Train Robbery;;12
The Big Lebowski;;117
The Big Parade;;151
The Tall T;;78
Bonnie and Clyde;;111
The Blues Brothers;;133
Matrimony’s Speed Limit;;14
Grease;;110
Brandy in the Wilderness;;81
Being There;;130
Bullitt;;114
Sunset Boulevard;;110
Rebel Without a Cause;;111
Butch Cassidy and the Sundance Kid;;110
Bush Mama;;97
To Be or Not to Be;;99
Bambi;;70
3:10 to Yuma;;92
20 Feet from Stardom;;91
Some Like It Hot;;121
In the Land of the Head Hunters;;65
Within Our Gates;;79
On the Waterfront;;108
In a Lonely Place;;93
Into the Arms of Strangers: Stories of the Kindertransport;;122
WALL-E;;98
Wanda;;102
Lady Windermere’s Fan;;90
The Great Dictator;;125
The Magnificent Seven;;128
The Magnificent Ambersons;;88
Twelve O’Clock High;;132
Lime Kiln Club Field Day;;65
Fast Times at Ridgemont High;;90
West Side Story;;155
All That Jazz;;123
The Wind;;95
